Year,Location,Crop,Soil_Type,Rainfall_mm,Temperature_C,Humidity_percent,Soil_Moisture_percent,Soil_pH,Area_acre,Yield_ton_ha
2015,Hukkeri,Sugarcane,Black Soil,925.0,26.7,83.9,34.9,6.72,2.46,79.39
2015,Hukkeri,Sugarcane,Clay Soil,957.1,29.2,72.2,29.0,6.76,1.04,80.24
2015,Hukkeri,Sugarcane,Clay Soil,856.8,25.0,82.0,34.9,6.81,3.12,75.96
2015,Hukkeri,Sugarcane,Black Soil,1019.7,25.5,82.3,38.3,6.86,7.9,75.95
2015,Hukkeri,Sugarcane,Black Soil,887.2,24.6,78.0,31.2,7.2,7.17,79.02
2015,Hukkeri,Sugarcane,Black Soil,930.9,30.0,74.0,29.4,6.82,4.16,78.59
2015,Hukkeri,Sugarcane,Black Soil,1037.8,28.3,74.9,32.3,7.07,2.46,77.47
2015,Hukkeri,Sugarcane,Clay Soil,849.9,26.3,77.8,32.1,7.56,4.59,72.01
2015,Hukkeri,Sugarcane,Clay Soil,900.8,26.4,79.2,34.5,7.5,6.96,73.29
2015,Hukkeri,Sugarcane,Clay Soil,968.8,28.6,84.7,36.2,7.27,5.15,74.0
2015,Hukkeri,Bajra,Red Soil,515.7,28.3,61.6,26.1,6.66,1.85,2.37
2015,Hukkeri,Bajra,Black Soil,470.8,26.8,49.5,14.3,6.5,5.76,2.36
2015,Hukkeri,Bajra,Black Soil,587.3,25.9,57.2,27.3,6.21,6.47,2.2
2015,Hukkeri,Bajra,Red Soil,474.9,32.2,50.5,21.9,7.05,3.13,2.34
2015,Hukkeri,Bajra,Black Soil,367.4,25.2,54.2,20.8,6.7,4.85,2.24
2015,Hukkeri,Bajra,Black Soil,580.9,29.7,48.0,25.8,5.57,1.37,2.23
2015,Hukkeri,Bajra,Red Soil,445.3,32.5,71.0,20.1,5.96,6.06,2.22
2015,Hukkeri,Bajra,Red Soil,425.0,29.6,51.8,16.9,6.23,5.9,2.48
2015,Hukkeri,Bajra,Black Soil,301.9,28.9,50.0,25.5,6.28,5.49,2.21
2015,Hukkeri,Bajra,Black Soil,354.8,24.7,50.6,17.8,6.49,2.65,2.26
2016,Hukkeri,Maize,Red Soil,680.4,23.6,61.7,28.9,6.51,6.45,4.38
2016,Hukkeri,Maize,Black Soil,605.7,25.0,60.0,20.2,7.42,2.26,4.87
2016,Hukkeri,Maize,Red Soil,660.6,27.9,70.2,25.5,6.03,1.05,4.55
2016,Hukkeri,Maize,Red Soil,748.8,24.6,63.6,21.1,6.54,5.66,4.59
2016,Hukkeri,Maize,Black Soil,662.5,25.0,68.6,19.2,6.26,7.38,4.78
2016,Hukkeri,Maize,Black Soil,476.9,27.6,54.7,14.7,5.99,7.19,4.17
2016,Hukkeri,Maize,Red Soil,711.1,24.1,74.2,21.0,6.43,2.35,4.52
2016,Hukkeri,Maize,Red Soil,662.0,23.8,61.1,22.7,6.95,2.54,4.62
2016,Hukkeri,Maize,Red Soil,682.1,25.9,69.0,28.2,6.84,3.61,4.69
2016,Hukkeri,Maize,Red Soil,550.0,25.9,67.0,29.0,7.08,5.72,4.41
2016,Hukkeri,Jowar,Red Soil,263.3,28.8,55.9,24.8,7.02,4.54,2.52
2016,Hukkeri,Jowar,Black Soil,420.4,28.1,51.1,21.4,6.19,5.93,2.85
2016,Hukkeri,Jowar,Red Soil,745.9,25.0,43.1,19.1,6.07,1.13,2.49
2016,Hukkeri,Jowar,Red Soil,573.2,29.8,64.5,22.2,6.57,6.21,2.94
2016,Hukkeri,Jowar,Red Soil,456.6,33.3,46.3,24.6,5.93,0.89,2.73
2016,Hukkeri,Jowar,Red Soil,506.1,28.8,59.9,20.7,6.76,6.79,2.92
2016,Hukkeri,Jowar,Black Soil,508.1,30.5,70.8,27.4,6.24,3.27,2.95
2016,Hukkeri,Jowar,Black Soil,510.4,26.7,54.6,25.9,6.91,7.31,2.94
2016,Hukkeri,Jowar,Red Soil,373.8,30.1,67.5,23.8,6.39,6.29,2.76
2016,Hukkeri,Jowar,Black Soil,537.0,25.3,66.3,22.3,6.43,5.36,2.97
2016,Hukkeri,Paddy,Clay Soil,1285.1,22.7,90,40.3,5.97,5.8,5.07
2016,Hukkeri,Paddy,Black Soil,1192.4,28.4,74.3,29.5,6.93,3.99,5.04
2016,Hukkeri,Paddy,Black Soil,1044.0,27.5,85.2,32.7,5.84,4.77,5.35
2016,Hukkeri,Paddy,Black Soil,997.5,28.2,76.3,38.1,6.23,2.6,5.4
2016,Hukkeri,Paddy,Black Soil,907.5,25.1,81.9,36.8,6.03,2.3,5.38
2016,Hukkeri,Paddy,Black Soil,979.8,24.0,80.8,32.3,6.5,2.8,5.6
2016,Hukkeri,Paddy,Black Soil,893.8,26.5,69.7,37.0,6.13,2.53,5.47
2016,Hukkeri,Paddy,Black Soil,1133.1,29.5,75.4,40.0,6.91,1.94,5.05
2016,Hukkeri,Paddy,Black Soil,1062.4,28.9,80.6,28.6,7.06,2.72,5.1
2016,Hukkeri,Paddy,Black Soil,1112.3,26.3,74.5,33.3,6.84,5.73,5.29
2016,Hukkeri,Sugarcane,Black Soil,841.7,24.2,75.9,32.4,6.91,3.06,83.15
2016,Hukkeri,Sugarcane,Black Soil,946.9,31.4,76.9,33.0,6.54,5.65,78.8
2016,Hukkeri,Sugarcane,Black Soil,1026.1,29.3,67.6,44.1,7.44,5.05,78.78
2016,Hukkeri,Sugarcane,Black Soil,965.7,24.9,79.9,30.2,6.69,4.76,79.02
2016,Hukkeri,Sugarcane,Black Soil,823.3,24.7,79.5,31.1,7.12,1.68,83.84
2016,Hukkeri,Sugarcane,Black Soil,894.7,26.6,66.0,35.3,6.91,2.66,80.78
2016,Hukkeri,Sugarcane,Clay Soil,918.0,24.7,68.9,23.6,7.12,5.46,71.34
2016,Hukkeri,Sugarcane,Black Soil,838.2,28.3,65.8,25.0,7.06,1.74,78.03
2016,Hukkeri,Sugarcane,Clay Soil,795.8,24.7,81.6,30.0,6.71,3.52,75.86
2016,Hukkeri,Sugarcane,Clay Soil,833.3,27.0,76.7,32.6,6.72,2.38,77.81
2016,Hukkeri,Bajra,Red Soil,469.8,32.3,61.0,15.9,7.09,6.66,2.28
2016,Hukkeri,Bajra,Red Soil,455.1,27.6,47.5,19.5,6.29,3.77,2.61
2016,Hukkeri,Bajra,Black Soil,560.6,28.5,49.8,21.9,6.66,3.59,2.33
2016,Hukkeri,Bajra,Black Soil,392.7,34.1,58.4,15.3,6.21,2.92,2.26
2016,Hukkeri,Bajra,Black Soil,573.4,25.9,69.1,20.1,6.39,4.39,2.24
2016,Hukkeri,Bajra,Black Soil,330.8,26.4,57.5,24.8,6.84,5.74,2.21
2016,Hukkeri,Bajra,Red Soil,588.7,29.6,58.4,14.0,6.48,3.56,2.26
2016,Hukkeri,Bajra,Red Soil,670.7,28.8,51.6,20.5,6.7,5.87,2.11
2016,Hukkeri,Bajra,Black Soil,351.0,30.3,47.4,20.8,6.64,5.0,2.35
2016,Hukkeri,Bajra,Red Soil,502.8,27.7,56.8,16.0,6.88,6.65,2.28
2017,Hukkeri,Maize,Red Soil,621.4,22.4,56.0,22.2,6.95,4.13,4.36
2017,Hukkeri,Maize,Red Soil,531.4,25.6,59.1,26.0,6.9,4.79,4.78
2017,Hukkeri,Maize,Black Soil,713.6,24.7,61.7,29.1,6.99,7.91,4.71
2017,Hukkeri,Maize,Black Soil,622.5,26.5,55.7,24.9,7.19,3.8,4.57
2017,Hukkeri,Maize,Red Soil,705.5,26.6,77.8,17.3,7.24,2.49,4.52
2017,Hukkeri,Maize,Red Soil,535.0,23.0,73.3,18.7,6.48,5.89,4.49
2017,Hukkeri,Maize,Red Soil,668.8,26.1,74.0,27.4,7.76,6.1,4.13
2017,Hukkeri,Maize,Red Soil,817.5,26.0,64.1,23.2,6.85,0.72,4.63
2017,Hukkeri,Maize,Red Soil,673.8,24.7,62.2,26.6,6.26,6.44,4.54
2017,Hukkeri,Maize,Black Soil,712.2,29.2,57.1,29.1,6.24,2.24,4.7
2017,Hukkeri,Jowar,Red Soil,356.5,28.8,64.3,18.3,6.4,1.05,2.92
2017,Hukkeri,Jowar,Red Soil,584.1,27.9,68.4,19.6,6.21,8.0,2.87
2017,Hukkeri,Jowar,Red Soil,576.8,29.3,54.3,23.6,6.48,6.73,2.86
2017,Hukkeri,Jowar,Red Soil,480.2,30.8,53.5,14.9,6.96,4.23,2.84
2017,Hukkeri,Jowar,Red Soil,511.6,26.4,59.6,18.3,6.6,6.17,2.97
2017,Hukkeri,Jowar,Black Soil,350.3,24.6,54.4,18.3,6.07,5.99,2.91
2017,Hukkeri,Jowar,Black Soil,575.0,26.9,54.0,22.4,6.66,3.24,2.84
2017,Hukkeri,Jowar,Red Soil,537.3,26.5,61.6,16.9,6.7,3.04,2.73
2017,Hukkeri,Jowar,Black Soil,461.2,28.2,58.1,18.1,6.27,3.48,2.92
2017,Hukkeri,Jowar,Red Soil,584.5,29.2,57.7,23.0,6.11,2.47,2.97
2017,Hukkeri,Paddy,Black Soil,1277.4,21.3,84.0,35.8,7.12,4.71,5.09
2017,Hukkeri,Paddy,Clay Soil,955.2,23.5,69.4,35.4,6.3,0.84,5.47
2017,Hukkeri,Paddy,Clay Soil,1033.7,28.4,90,38.8,6.65,5.53,5.66
2017,Hukkeri,Paddy,Black Soil,866.4,24.2,87.7,30.2,6.64,7.54,5.0
2017,Hukkeri,Paddy,Black Soil,1260.1,26.4,63.9,37.4,6.5,5.64,5.17
2017,Hukkeri,Paddy,Black Soil,1226.8,26.7,90,32.1,6.47,2.09,5.26
2017,Hukkeri,Paddy,Clay Soil,1245.5,26.6,90,33.5,6.58,4.66,5.91
2017,Hukkeri,Paddy,Clay Soil,1147.8,24.5,81.9,27.0,6.17,7.88,5.46
2017,Hukkeri,Paddy,Clay Soil,805.4,25.0,90,39.1,6.62,6.41,5.51
2017,Hukkeri,Paddy,Black Soil,1232.9,26.2,85.1,37.0,6.5,3.86,5.39
2017,Hukkeri,Sugarcane,Clay Soil,902.1,26.9,58.1,31.8,7.59,7.0,76.0
2017,Hukkeri,Sugarcane,Clay Soil,701.0,28.5,82.4,33.7,6.57,4.18,76.44
2017,Hukkeri,Sugarcane,Clay Soil,986.7,27.4,73.0,31.1,6.92,4.61,81.44
2017,Hukkeri,Sugarcane,Clay Soil,851.1,29.0,72.7,36.6,6.44,1.36,76.91
2017,Hukkeri,Sugarcane,Black Soil,760.6,29.0,63.8,35.9,6.54,2.84,80.16
2017,Hukkeri,Sugarcane,Clay Soil,900.8,25.2,84.1,39.4,7.6,1.2,75.64
2017,Hukkeri,Sugarcane,Black Soil,946.7,24.9,76.7,33.0,7.43,5.53,79.62
2017,Hukkeri,Sugarcane,Clay Soil,860.3,29.6,75.0,23.9,6.83,5.0,68.37
2017,Hukkeri,Sugarcane,Clay Soil,1044.7,28.6,79.5,35.8,7.19,4.67,74.69
2017,Hukkeri,Sugarcane,Black Soil,960.3,24.1,79.8,24.8,7.64,5.1,76.55
2017,Hukkeri,Bajra,Red Soil,336.6,27.0,54.4,19.1,6.41,7.41,2.43
2017,Hukkeri,Bajra,Black Soil,651.8,29.2,48.5,18.4,6.81,0.73,2.28
2017,Hukkeri,Bajra,Red Soil,371.7,30.7,58.3,22.9,6.12,4.97,2.47
2017,Hukkeri,Bajra,Red Soil,543.7,32.1,57.7,20.5,6.16,5.05,2.32
2017,Hukkeri,Bajra,Black Soil,425.7,32.7,60.6,22.8,6.39,4.15,2.43
2017,Hukkeri,Bajra,Black Soil,546.2,29.6,54.3,19.7,6.42,1.53,2.39
2017,Hukkeri,Bajra,Black Soil,437.6,30.1,47.6,20.1,6.8,2.23,2.42
2017,Hukkeri,Bajra,Black Soil,628.9,30.9,56.3,20.2,7.11,4.82,2.11
2017,Hukkeri,Bajra,Black Soil,423.8,26.8,56.1,20.5,6.22,5.14,2.47
2017,Hukkeri,Bajra,Black Soil,614.1,31.2,55.4,25.3,6.15,2.83,2.19
2018,Hukkeri,Maize,Red Soil,680.9,30.3,73.8,27.6,6.47,6.32,4.5
2018,Hukkeri,Maize,Red Soil,623.8,22.5,67.0,22.3,6.84,5.02,4.63
2018,Hukkeri,Maize,Black Soil,726.1,29.9,53.3,25.2,6.72,7.43,4.59
2018,Hukkeri,Maize,Red Soil,742.4,24.2,66.5,26.2,6.42,2.56,4.61
2018,Hukkeri,Maize,Black Soil,626.5,27.2,63.1,25.3,6.5,5.33,4.99
2018,Hukkeri,Maize,Black Soil,560.8,24.8,56.3,26.2,6.89,3.87,4.5
2018,Hukkeri,Maize,Black Soil,600.6,28.8,66.5,26.2,7.3,3.08,4.95
2018,Hukkeri,Maize,Black Soil,588.5,26.5,65.1,29.3,6.3,1.69,4.88
2018,Hukkeri,Maize,Red Soil,736.1,25.4,66.6,19.0,7.17,3.01,4.57
2018,Hukkeri,Maize,Red Soil,774.8,28.4,62.6,31.3,6.28,7.05,4.17
2018,Hukkeri,Jowar,Red Soil,628.7,29.6,63.2,19.3,6.21,1.47,2.7
2018,Hukkeri,Jowar,Black Soil,464.4,30.0,61.3,13.9,6.18,6.04,2.82
2018,Hukkeri,Jowar,Black Soil,436.2,26.2,53.7,23.9,6.6,7.61,3.09
2018,Hukkeri,Jowar,Red Soil,664.6,36,61.3,23.8,6.6,4.55,2.52
2018,Hukkeri,Jowar,Black Soil,392.5,24.2,51.0,17.4,6.63,5.7,2.98
2018,Hukkeri,Jowar,Black Soil,494.6,27.4,50.7,25.8,6.97,6.14,2.97
2018,Hukkeri,Jowar,Red Soil,507.4,29.6,70.0,19.5,6.69,5.59,2.85
2018,Hukkeri,Jowar,Red Soil,421.0,28.4,51.7,24.3,7.13,6.51,2.78
2018,Hukkeri,Jowar,Black Soil,522.9,27.5,51.3,21.5,7.01,4.37,2.96
2018,Hukkeri,Jowar,Black Soil,462.9,31.6,55.8,29.6,6.73,7.6,3.0
2018,Hukkeri,Paddy,Clay Soil,1243.8,21.8,86.6,32.2,6.13,3.4,5.58
2018,Hukkeri,Paddy,Clay Soil,1071.3,26.4,90,30.8,6.04,1.53,5.34
2018,Hukkeri,Paddy,Black Soil,1266.9,24.8,85.8,28.1,5.93,7.29,5.25
2018,Hukkeri,Paddy,Clay Soil,1088.0,30.2,69.2,32.1,6.23,2.66,5.49
2018,Hukkeri,Paddy,Black Soil,1190.5,27.1,73.7,29.7,7.02,4.25,5.36
2018,Hukkeri,Paddy,Clay Soil,949.8,23.9,78.9,30.7,6.73,4.78,5.56
2018,Hukkeri,Paddy,Clay Soil,1063.1,25.2,82.6,33.8,5.99,7.91,5.61
2018,Hukkeri,Paddy,Clay Soil,952.0,27.6,67.0,25.5,6.4,6.41,5.45
2018,Hukkeri,Paddy,Black Soil,1113.9,29.2,87.4,37.2,6.41,3.14,5.21
2018,Hukkeri,Paddy,Black Soil,1141.0,24.7,81.4,29.6,6.23,6.59,5.13
2018,Hukkeri,Sugarcane,Black Soil,899.2,21.8,79.6,32.6,7.19,2.87,74.07
2018,Hukkeri,Sugarcane,Clay Soil,650.7,26.4,69.8,31.2,7.0,3.18,73.35
2018,Hukkeri,Sugarcane,Black Soil,1009.7,25.5,79.8,34.7,7.44,7.21,77.79
2018,Hukkeri,Sugarcane,Clay Soil,915.9,28.2,72.6,28.4,7.08,1.12,75.67
2018,Hukkeri,Sugarcane,Clay Soil,1069.5,28.4,78.9,27.5,6.94,5.46,77.61
2018,Hukkeri,Sugarcane,Clay Soil,800.1,28.2,78.8,35.8,6.47,7.34,76.69
2018,Hukkeri,Sugarcane,Clay Soil,907.0,33.1,77.6,31.5,6.78,6.51,72.87
2018,Hukkeri,Sugarcane,Black Soil,1003.1,26.6,65.5,27.6,7.13,6.34,80.98
2018,Hukkeri,Sugarcane,Clay Soil,791.7,31.1,79.0,32.5,6.68,3.83,75.7
2018,Hukkeri,Sugarcane,Black Soil,840.2,25.8,66.9,35.5,7.0,6.02,81.95
2018,Hukkeri,Bajra,Black Soil,250,28.5,63.9,24.7,6.43,5.09,2.14
2018,Hukkeri,Bajra,Black Soil,466.6,30.1,58.9,21.1,6.23,6.58,2.11
2018,Hukkeri,Bajra,Black Soil,372.4,26.0,49.5,19.0,6.44,5.82,2.36
2018,Hukkeri,Bajra,Red Soil,482.3,26.5,58.4,21.9,6.9,0.7,2.44
2018,Hukkeri,Bajra,Black Soil,250,30.3,65.0,26.0,6.82,5.88,2.19
2018,Hukkeri,Bajra,Black Soil,281.0,28.4,56.2,18.6,6.99,3.87,2.21
2018,Hukkeri,Bajra,Black Soil,580.1,32.0,46.2,18.3,6.52,4.27,2.22
2018,Hukkeri,Bajra,Red Soil,509.1,26.7,53.6,22.2,6.73,7.61,2.32
2018,Hukkeri,Bajra,Black Soil,493.1,27.6,49.1,16.2,6.71,4.5,2.39
2018,Hukkeri,Bajra,Red Soil,339.5,27.4,59.7,24.9,6.76,7.43,2.24
2019,Hukkeri,Maize,Black Soil,660.9,26.0,74.6,26.6,6.25,6.25,4.72
2019,Hukkeri,Maize,Red Soil,631.7,26.1,71.7,21.8,6.51,2.34,4.54
2019,Hukkeri,Maize,Red Soil,638.6,27.3,72.0,26.6,6.46,5.05,4.65
2019,Hukkeri,Maize,Red Soil,706.5,25.0,71.4,24.7,6.22,4.36,4.73
2019,Hukkeri,Maize,Black Soil,602.8,28.7,64.4,28.0,6.94,3.38,4.91
2019,Hukkeri,Maize,Red Soil,652.2,30.9,68.4,28.0,6.43,6.22,4.46
2019,Hukkeri,Maize,Red Soil,762.1,26.4,71.0,21.8,7.0,3.93,4.65
2019,Hukkeri,Maize,Black Soil,670.3,28.5,72.8,26.5,7.08,4.03,4.68
2019,Hukkeri,Maize,Black Soil,710.9,24.6,73.3,20.7,6.73,3.5,4.67
2019,Hukkeri,Maize,Black Soil,596.4,27.9,59.2,27.9,6.08,5.17,4.67
2019,Hukkeri,Jowar,Black Soil,531.1,28.7,43.6,29.4,6.19,1.58,2.9
2019,Hukkeri,Jowar,Red Soil,469.5,28.0,62.1,23.7,6.12,5.05,2.92
2019,Hukkeri,Jowar,Black Soil,435.2,30.7,69.2,31.4,6.48,3.02,2.81
2019,Hukkeri,Jowar,Red Soil,478.4,26.2,60.7,17.5,6.05,4.88,2.64
2019,Hukkeri,Jowar,Black Soil,435.6,27.0,47.5,12.1,6.28,0.89,2.91
2019,Hukkeri,Jowar,Red Soil,567.4,30.7,48.2,15.8,6.82,0.74,2.93
2019,Hukkeri,Jowar,Black Soil,539.2,30.2,51.7,23.0,6.62,5.09,3.15
2019,Hukkeri,Jowar,Red Soil,613.8,25.4,61.5,21.8,6.58,5.47,2.93
2019,Hukkeri,Jowar,Red Soil,476.0,29.2,63.5,19.1,6.13,5.91,3.03
2019,Hukkeri,Jowar,Red Soil,449.7,27.1,58.2,26.1,6.65,2.73,3.14
2019,Hukkeri,Paddy,Black Soil,1027.2,22.8,72.0,34.3,5.64,5.91,5.01
2019,Hukkeri,Paddy,Black Soil,1284.1,28.3,65.7,41.7,6.76,6.53,4.69
2019,Hukkeri,Paddy,Black Soil,1400,27.4,90,38.3,6.08,2.1,4.9
2019,Hukkeri,Paddy,Black Soil,1339.5,24.6,86.3,38.2,6.18,5.52,5.18
2019,Hukkeri,Paddy,Clay Soil,1063.9,25.4,70.5,37.3,6.88,0.54,5.75
2019,Hukkeri,Paddy,Clay Soil,768.6,28.8,85.8,30.8,6.68,2.91,5.81
2019,Hukkeri,Paddy,Clay Soil,1161.6,25.5,72.3,31.8,6.26,7.35,5.27
2019,Hukkeri,Paddy,Clay Soil,818.1,28.1,81.7,33.6,6.72,1.9,5.24
2019,Hukkeri,Paddy,Black Soil,1116.6,25.8,77.0,33.2,6.68,7.92,5.4
2019,Hukkeri,Paddy,Black Soil,1170.0,25.2,74.4,33.9,6.51,5.98,5.27
2019,Hukkeri,Sugarcane,Clay Soil,946.7,26.6,72.0,34.9,6.9,5.08,76.65
2019,Hukkeri,Sugarcane,Clay Soil,1006.0,24.7,83.9,35.1,7.08,2.93,78.14
2019,Hukkeri,Sugarcane,Black Soil,1048.3,27.1,69.8,33.0,6.78,4.8,84.57
2019,Hukkeri,Sugarcane,Clay Soil,862.6,24.2,78.2,32.8,6.88,4.27,79.58
2019,Hukkeri,Sugarcane,Clay Soil,897.7,24.1,81.2,30.6,7.16,4.09,83.21
2019,Hukkeri,Sugarcane,Clay Soil,948.1,24.0,67.4,34.5,6.57,5.48,76.57
2019,Hukkeri,Sugarcane,Black Soil,961.2,23.7,64.8,28.0,6.58,3.21,78.55
2019,Hukkeri,Sugarcane,Black Soil,1066.6,28.0,65.9,31.8,7.18,4.4,82.9
2019,Hukkeri,Sugarcane,Black Soil,882.6,23.8,60.1,32.6,6.89,1.49,79.98
2019,Hukkeri,Sugarcane,Clay Soil,916.8,27.2,62.7,33.7,6.94,6.62,74.93
2019,Hukkeri,Bajra,Red Soil,423.2,28.7,53.6,21.2,7.32,1.02,2.3
2019,Hukkeri,Bajra,Black Soil,550.5,29.4,56.4,13.2,7.0,3.65,2.25
2019,Hukkeri,Bajra,Black Soil,250,30.6,52.9,21.1,7.2,1.5,2.13
2019,Hukkeri,Bajra,Black Soil,681.0,33.7,52.1,21.3,7.16,6.17,2.06
2019,Hukkeri,Bajra,Black Soil,294.9,29.8,48.9,21.8,6.55,1.66,2.36
2019,Hukkeri,Bajra,Red Soil,598.4,27.6,64.7,24.7,5.98,7.13,2.27
2019,Hukkeri,Bajra,Red Soil,452.2,29.8,48.7,17.6,6.17,2.34,2.23
2019,Hukkeri,Bajra,Red Soil,390.3,29.9,57.9,27.8,6.89,2.67,2.33
2019,Hukkeri,Bajra,Black Soil,297.9,27.2,57.1,17.3,7.23,4.41,2.05
2019,Hukkeri,Bajra,Black Soil,438.9,29.7,68.7,17.4,6.92,3.7,2.27
2020,Hukkeri,Maize,Red Soil,737.9,27.1,60.7,21.9,6.17,3.56,4.52
2020,Hukkeri,Maize,Red Soil,530.4,29.1,51.6,26.3,6.53,6.54,4.73
2020,Hukkeri,Maize,Black Soil,407.8,24.3,61.5,24.2,6.71,5.35,4.75
2020,Hukkeri,Maize,Red Soil,675.2,25.7,64.3,22.4,6.64,5.02,4.91
2020,Hukkeri,Maize,Black Soil,714.2,29.9,63.6,19.9,6.0,3.0,4.69
2020,Hukkeri,Maize,Black Soil,665.4,27.9,64.4,18.4,6.72,5.72,4.51
2020,Hukkeri,Maize,Black Soil,591.1,27.5,62.5,27.9,6.21,2.81,4.87
2020,Hukkeri,Maize,Red Soil,533.1,26.3,81.1,31.6,6.04,7.36,4.41
2020,Hukkeri,Maize,Red Soil,638.2,27.1,72.6,20.0,7.14,4.88,4.59
2020,Hukkeri,Maize,Red Soil,631.5,27.9,66.1,30.2,6.71,7.58,4.82
2020,Hukkeri,Jowar,Red Soil,491.5,32.1,67.8,19.8,6.29,6.46,2.86
2020,Hukkeri,Jowar,Black Soil,580.2,30.1,63.9,28.7,7.38,4.43,2.83
2020,Hukkeri,Jowar,Black Soil,639.8,26.9,58.6,16.9,6.64,5.8,2.92
2020,Hukkeri,Jowar,Black Soil,521.5,30.4,67.3,23.1,7.21,5.44,2.88
2020,Hukkeri,Jowar,Black Soil,626.6,28.1,66.6,21.4,6.35,0.63,3.26
2020,Hukkeri,Jowar,Red Soil,575.8,23.5,60.5,22.1,6.64,4.45,2.89
2020,Hukkeri,Jowar,Red Soil,489.1,30.2,53.0,23.9,5.52,2.19,2.67
2020,Hukkeri,Jowar,Black Soil,387.6,24.4,58.2,19.2,6.18,0.92,3.04
2020,Hukkeri,Jowar,Black Soil,487.9,27.1,63.7,16.2,6.03,7.8,3.25
2020,Hukkeri,Jowar,Black Soil,527.3,32.7,54.8,16.2,6.39,5.63,3.19
2020,Hukkeri,Paddy,Black Soil,1276.5,24.3,90,35.9,6.05,4.9,5.7
2020,Hukkeri,Paddy,Black Soil,1229.3,25.2,71.7,32.0,6.71,4.55,5.14
2020,Hukkeri,Paddy,Black Soil,1103.3,24.8,90,33.5,5.45,0.9,5.17
2020,Hukkeri,Paddy,Black Soil,1107.6,26.9,72.4,30.6,5.64,2.95,4.98
2020,Hukkeri,Paddy,Black Soil,1138.9,23.6,81.2,39.0,6.24,4.89,5.43
2020,Hukkeri,Paddy,Black Soil,1302.6,27.6,83.3,28.0,6.58,5.84,5.32
2020,Hukkeri,Paddy,Clay Soil,1090.4,24.1,80.6,34.3,6.28,2.52,5.87
2020,Hukkeri,Paddy,Clay Soil,1254.0,27.2,72.1,32.3,6.52,4.66,5.69
2020,Hukkeri,Paddy,Black Soil,1117.6,25.7,69.6,37.6,6.33,7.95,5.17
2020,Hukkeri,Paddy,Clay Soil,1006.8,25.4,77.2,35.5,6.27,0.97,5.91
